Date,CO2 [ppm],seasonally adj [ppm],CO2 filled [ppm]
2019-09-01,408.48,411.98,408.48
2019-10-01,408.4,412.02,408.4
2019-11-01,410.16,412.44,410.16
2019-12-01,411.81,412.74,411.81
2020-01-01,413.3,413.25,413.3
2020-02-01,414.05,413.28,414.05
2020-03-01,414.45,412.87,414.45
2020-04-01,416.11,413.29,416.11
2020-05-01,417.15,413.74,417.15
2020-06-01,416.29,413.73,416.29
2020-07-01,414.42,413.64,414.42
2020-08-01,412.52,414.1,412.52
2020-09-01,411.18,414.7,411.18
2020-10-01,411.12,414.75,411.12
2020-11-01,412.88,415.16,412.88
2020-12-01,413.89,414.82,413.89
2021-01-01,415.15,415.1,415.15
2021-02-01,416.47,415.7,416.47
2021-03-01,417.16,415.61,417.16
2021-04-01,418.24,415.44,418.24
2021-05-01,418.95,415.53,418.95
2021-06-01,418.7,416.11,418.7
2021-07-01,416.65,415.84,416.65
2021-08-01,414.34,415.9,414.34
2021-09-01,412.9,416.42,412.9
2021-10-01,,,
2021-11-01,,,
2021-12-01,,,
