Date,Extent
1978-12-31,13.466676470588236
1979-12-31,11.719137362637362
1980-12-31,11.236289617486344
1981-12-31,11.416808743169401
1982-12-31,11.658065934065931
1983-12-31,11.369912568306008
1984-12-31,11.449677595628412
1985-12-31,11.63382967032967
1986-12-31,11.071322404371582
1987-12-31,12.90159545454546
1988-12-31,11.685189265536728
1989-12-31,11.425679452054794
1990-12-31,11.409594520547946
1991-12-31,11.544873972602732
1992-12-31,11.398617486338809
1993-12-31,11.419939726027398
1994-12-31,11.773969863013708
1995-12-31,11.794756164383557
1996-12-31,11.769128415300555
1997-12-31,11.390052054794522
1998-12-31,11.73837260273972
1999-12-31,11.760682191780825
2000-12-31,11.747226775956285
2001-12-31,11.672624657534241
2002-12-31,11.221608219178083
2003-12-31,11.969287671232879
2004-12-31,11.961497267759562
2005-12-31,11.694879452054797
2006-12-31,11.460912328767119
2007-12-31,11.687106849315061
2008-12-31,12.239407103825139
2009-12-31,12.048591780821917
2010-12-31,12.106791780821924
2011-12-31,11.500572602739734
2012-12-31,12.004437158469953
2013-12-31,12.523605479452057
2014-12-31,12.776126027397257
2015-12-31,12.414101369863019
2016-12-31,11.202114754098364
2017-12-31,10.748926027397262
2018-12-31,10.9999698630137
2019-12-31,10.8760602739726
2020-12-31,11.60240163934426
2021-12-31,11.465029801324496
