Date,Extent
1978-10-31,10.402666666666667
1978-11-30,11.645133333333332
1978-12-31,13.667062500000002
1979-01-31,15.414
1979-02-28,16.175285714285714
1979-03-31,16.3419375
1979-04-30,15.446799999999998
1979-05-31,13.856866666666665
1979-06-30,12.53
1979-07-31,10.311250000000001
1979-08-31,8.04106666666667
1979-09-30,7.051133333333332
1979-10-31,8.7479375
1979-11-30,10.943066666666665
1979-12-31,13.336266666666667
1980-01-31,14.861874999999998
1980-02-29,15.955142857142857
1980-03-31,16.041312499999997
1980-04-30,15.429066666666667
1980-05-31,13.792599999999998
1980-06-30,12.204600000000003
1980-07-31,10.100062499999998
1980-08-31,7.984266666666666
1980-09-30,7.667066666666666
1980-10-31,9.18275
1980-11-30,11.382866666666668
1980-12-31,13.592933333333331
1981-01-31,14.9096875
1981-02-28,15.604071428571428
1981-03-31,15.631533333333332
1981-04-30,15.009933333333331
1981-05-31,13.801625000000003
1981-06-30,12.429733333333335
1981-07-31,10.270999999999997
1981-08-31,7.844312500000002
1981-09-30,7.138466666666667
1981-10-31,8.856266666666667
1981-11-30,10.929
1981-12-31,13.341125000000002
1982-01-31,15.17673333333333
1982-02-28,15.973499999999998
1982-03-31,16.043875
1982-04-30,15.466000000000001
1982-05-31,13.973199999999999
1982-06-30,12.476066666666668
1982-07-31,10.367062500000001
1982-08-31,8.139533333333334
1982-09-30,7.301733333333333
1982-10-31,9.4210625
1982-11-30,11.627466666666667
1982-12-31,13.641799999999996
1983-01-31,14.9424375
1983-02-28,16.00614285714286
1983-03-31,16.085266666666662
1983-04-30,15.172066666666664
1983-05-31,13.4913125
1983-06-30,12.295666666666667
1983-07-31,10.570266666666667
1983-08-31,8.185875
1983-09-30,7.3946000000000005
1983-10-31,9.334066666666667
1983-11-30,11.461
1983-12-31,13.298437499999999
1984-01-31,14.473266666666667
1984-02-29,15.298933333333332
1984-03-31,15.5842
1984-04-30,15.014466666666667
1984-05-31,13.576687499999998
1984-06-30,12.151666666666667
1984-07-31,9.977533333333334
1984-08-31,7.771062500000001
1984-09-30,6.8052
1984-10-31,8.560599999999999
1984-11-30,10.841533333333333
1984-12-31,12.9894375
1985-01-31,14.724866666666665
1985-02-28,15.465714285714288
1985-03-31,15.885937500000002
1985-04-30,15.356533333333335
1985-05-31,14.0734
1985-06-30,12.219066666666665
1985-07-31,9.7445625
1985-08-31,7.401866666666667
1985-09-30,6.697666666666666
1985-10-31,8.5459375
1985-11-30,11.024533333333334
1985-12-31,13.049933333333334
1986-01-31,14.889624999999999
1986-02-28,15.784857142857147
1986-03-31,15.909466666666667
1986-04-30,15.058800000000002
1986-05-31,13.3795625
1986-06-30,11.975933333333334
1986-07-31,10.146466666666667
1986-08-31,7.979562500000001
1986-09-30,7.410666666666667
1986-10-31,9.483933333333333
1986-11-30,11.453266666666666
1986-12-31,13.222437499999998
1987-01-31,14.969800000000001
1987-02-28,16.050142857142863
1987-03-31,15.815937499999999
1987-04-30,15.210866666666666
1987-05-31,13.742933333333335
1987-06-30,12.485666666666667
1987-07-31,10.332562500000002
1987-08-31,7.4999047619047605
1987-09-30,7.278699999999998
1987-10-31,9.048774193548386
1987-11-30,11.224033333333335
1987-12-31,12.5405
1988-01-31,15.090473684210526
1988-02-29,15.583379310344828
1988-03-31,15.95722580645161
1988-04-30,15.123333333333333
1988-05-31,13.560870967741932
1988-06-30,11.943433333333331
1988-07-31,9.80867741935484
1988-08-31,7.891580645161291
1988-09-30,7.369
1988-10-31,9.135032258064518
1988-11-30,11.330833333333333
1988-12-31,13.625548387096776
1989-01-31,14.9548064516129
1989-02-28,15.495535714285712
1989-03-31,15.423290322580646
1989-04-30,14.328399999999998
1989-05-31,13.044129032258065
1989-06-30,12.244533333333331
1989-07-31,10.129709677419354
1989-08-31,7.881774193548386
1989-09-30,7.0083333333333355
1989-10-31,8.828903225806453
1989-11-30,11.115233333333334
1989-12-31,13.386806451612902
1990-01-31,14.782612903225811
1990-02-28,15.578214285714282
1990-03-31,15.866741935483867
1990-04-30,14.650066666666667
1990-05-31,13.225838709677417
1990-06-30,11.640566666666663
1990-07-31,9.246612903225806
1990-08-31,6.797483870967743
1990-09-30,6.142799999999999
1990-10-31,8.484935483870967
1990-11-30,11.075199999999999
1990-12-31,13.105548387096777
1991-01-31,14.363806451612904
1991-02-28,15.24939285714286
1991-03-31,15.416129032258066
1991-04-30,14.859733333333335
1991-05-31,13.473129032258065
1991-06-30,12.108033333333337
1991-07-31,9.514032258064514
1991-08-31,7.415354838709678
1991-09-30,6.472899999999999
1991-10-31,8.541419354838709
1991-11-30,10.884600000000002
1991-12-31,12.945096774193548
1992-01-31,14.642677419354841
1992-02-29,15.46210344827586
1992-03-31,15.481129032258067
1992-04-30,14.6769
1992-05-31,13.215548387096776
1992-06-30,12.14676666666667
1992-07-31,10.323129032258066
1992-08-31,7.92525806451613
1992-09-30,7.4737
1992-10-31,9.319516129032259
1992-11-30,11.378666666666668
1992-12-31,13.407387096774196
1993-01-31,14.896064516129034
1993-02-28,15.685642857142856
1993-03-31,15.813161290322583
1993-04-30,15.0772
1993-05-31,13.36822580645161
1993-06-30,11.8709
1993-07-31,9.476354838709677
1993-08-31,7.335
1993-09-30,6.396666666666666
1993-10-31,8.786129032258065
1993-11-30,11.318733333333332
1993-12-31,13.318967741935486
1994-01-31,14.729774193548383
1994-02-28,15.561892857142857
1994-03-31,15.55361290322581
1994-04-30,14.888033333333333
1994-05-31,13.624387096774194
1994-06-30,12.016399999999999
1994-07-31,9.925161290322581
1994-08-31,7.639290322580646
