Date,Extent
1978-12-31,12.487
1979-12-31,12.319560439560446
1980-12-31,12.3341475409836
1981-12-31,12.135486338797817
1982-12-31,12.43944505494506
1983-12-31,12.335896174863388
1984-12-31,11.912601092896175
1985-12-31,11.986598901098898
1986-12-31,12.208224043715852
1987-12-31,11.39722727272727
1988-12-31,12.093169491525419
1989-12-31,11.966854794520543
1990-12-31,11.693841095890404
1991-12-31,11.749257534246569
1992-12-31,12.11048087431694
1993-12-31,11.92305205479452
1994-12-31,12.011317808219184
1995-12-31,11.415109589041096
1996-12-31,11.840786885245905
1997-12-31,11.667613698630138
1998-12-31,11.75738082191781
1999-12-31,11.691465753424655
2000-12-31,11.508174863387978
2001-12-31,11.600016438356166
2002-12-31,11.362865753424662
2003-12-31,11.397221917808208
2004-12-31,11.240434426229513
2005-12-31,10.906975342465747
2006-12-31,10.772613698630131
2007-12-31,10.474095890410963
2008-12-31,10.977846994535522
2009-12-31,10.931969863013702
2010-12-31,10.711391780821916
2011-12-31,10.483495890410957
2012-12-31,10.406098360655747
2013-12-31,10.89711506849315
2014-12-31,10.790495890410952
2015-12-31,10.565816438356164
2016-12-31,10.163478142076505
2017-12-31,10.392701369863007
2018-12-31,10.35504109589041
2019-12-31,10.20098356164384
2020-12-31,10.149868852459017
2021-12-31,10.426135761589396
